BUYER_COUNTY,BUYER_STATE,Year,MME,CALC_BASE_WT_IN_GM
ALCONA,MI,2011,2268387.9038625,2004.600152575
ALCONA,MI,2012,2621081.475,2338.45985
ALCONA,MI,2013,2653666.1625,2392.269175
ALCONA,MI,2014,2545106.925,2264.90585
ALCONA,MI,2015,2247462.87,2010.562745
ALCONA,MI,2016,2279529.9,1993.0085
ALCONA,MI,2017,2061410.7,1795.3294999999998
ALCONA,MI,2018,1684034.5125000002,1461.8145749999999
ALCONA,MI,2019,1452864.9375,1250.592125
ALCORN,MS,2006,17529291.129812498,15190.131784875
ALCORN,MS,2007,19314971.42625,16651.495437499998
ALCORN,MS,2008,18432390.6020125,16496.995489675
ALCORN,MS,2009,20674930.612425,18607.52796495
ALCORN,MS,2010,22749793.321087502,20225.745690724998
ALCORN,MS,2011,26112038.840175,23413.03894345
ALCORN,MS,2012,26540881.037025,23692.94532635
ALCORN,MS,2013,23868158.674087502,21033.335732725
ALCORN,MS,2014,23455924.7520375,20192.716368025
ALCORN,MS,2015,23070535.5939,19463.6993426
ALCORN,MS,2016,24786846.802500002,20570.271115
ALCORN,MS,2017,24455800.8075,19983.498495
ALCORN,MS,2018,22031437.7703,17845.088880199997
ALCORN,MS,2019,19853122.3875,15967.131074999998
ALEUTIANS EAST,AK,2006,908.1,0.9081
ALEUTIANS EAST,AK,2007,302.70000000000005,0.3027
ALEUTIANS WEST,AK,2006,87308.925,84.84355000000001
ALEUTIANS WEST,AK,2007,105188.25,105.18825
ALEUTIANS WEST,AK,2008,92020.8,92.02080000000001
ALEUTIANS WEST,AK,2009,92306.1,91.85785
ALEUTIANS WEST,AK,2010,81644.625,81.4205
ALEUTIANS WEST,AK,2011,93837.0,93.837
